Number,Title,Artist,Year,Division,Women,POC
113,Fetch the Bolt Cutters,Fiona Apple,2020,D1,y,n
114,Tomb,Angelo De Augustine,2019,D2,n,n
115,Spook the Herd,Lanterns on the Lake,2020,D1,y,n
116,As Far As I Can See,Phil Cook,2019,D1,n,n
117,Phil Cook and His Feat,Phil Cook,2009,D2,n,n
118,Indian Summer,Carbon Leaf,2004,D1,n,n
119,Black Dirt Sessions,Deer Tick,2010,D2,n,n
120,Haw,Hiss Golden Messenger,2013,D2,n,n
121,Wonder EP,Hope Waidley,2020,D2,y,n
122,The Midnight Organ Fight,Frightened Rabbit,2007,MLL,n,n
123,Live from Alabama,Jason Isbell & the 400 Unit,2012,D1,n,y
124,To the Sunset,Amanda Shires,2018,D1,y,n
125,Look Alive EP,Shakey Graves,2020,D2,n,y
126,Abandoned Mansion,Dr. Dog,2016,D2,n,n
127,Motel Bouqet,Caitlin Canty,2018,D2,y,n
128,Cape Town Fringe,Dollar Brand,1977,D1,n,y
129,Reunions,Jason Isbell & the 400 Unit,2020,D1,y,y
130,Tourism EP,Henry Jamison,2020,D1,n,n
131,Boxer,The National,2007,D1,n,n
132,Turn out the Lights,Julien Baker,2017,D1,y,n
133,Carnivore,Simon Dawes,2006,D3,n,n
134,Lush,Snail Mail,2018,D1,y,n
135,Capacity,Big Thief,2017,D1,y,n
136,Notes on a Conditional Form,The 1975,2020,D1,n,n
137,Live from Newport Music Hall EP,Caamp,2020,D2,n,n
138,XO,Elliott Smith,1998,D1,n,n
139,To Pimp a Butterfly,Kendrick Lamar,2015,MLL,n,y
140,Care For Me,Saba,2018,D1,n,y
141,Room 25,Noname,2018,D1,y,y
142,Songs of Our Native Daughters,Our Native Daughters,2019,D2,y,y
143,Rearrange Us,Mt. Joy,2020,D2,y,n
144,"Lola Versus Powerman and the Moneygoround, Part 1",The Kinks,1970,D1,n,n
145,Apollo XXI,Steve Lacy,2019,D2,n,y
146,"The Wild, The Innocent, and the E Street Shuffle",Bruce Springsteen and the E Street Band,1973,D1,n,y
147,Nebraska,Bruce Springsteen,1982,D1,n,n
148,So Tonight That I Might See,Mazzy Star,1993,D1,y,y
149,Cheap Queen,King Princess,2019,D2,y,n
150,"Blood, Sweat, and Tears","Blood, Sweat, and Tears",1968,D2,n,n
151,Mutable Set,Blake Mills,2020,D2,n,n
152,The Loves of Your Life,Hamilton Leithauser,2020,D2,n,n
153,Live - Evil,Miles Davis,1971,D2,n,y
154,Punisher,Phoebe Bridgers,2020,MLL,y,n
155,Walk Through Fire,Yola,2019,D1,y,y
156,Aja,Steely Dan,1977,D1,n,n
157,Floating Coffin,Thee Oh Sees,2013,D2,y,n
158,Blindfaller,Mandolin Orange,2016,D1,y,n
159,The Positions,Gang of Youths,2015,D1,n,y
160,Pleased to Meet Me,The Replacements,1987,D2,n,n
161,Women in Music Pt. 3,HAIM,2020,D1,y,n
162,Coming Home,Leon Bridges,2015,D1,n,y
163,Black Pumas,Black Pumas,2019,D1,n,y
164,Mordechai,Khruangbin,2020,D2,y,y
165,Gris Gris,Dr. John,1968,D1,n,n
166,In the Right Place,Dr. John,1973,D1,n,n
167,Revolver,Beatles,1966,D2,n,n
168,Hozier,Hozier,2014,D2,n,n
169,Transformer,Lou Reed,1972,MLL,n,n
